id,callproviderID,phonenumberID,customernumber,type,started,ended,milliseconds,cost fields,ended reason,transcript
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"
",,,,outbound,5/15/2025 2:00pm,5/15/2025 2:00pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 2:00pm,5/15/2025 2:00pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 2:10pm,5/15/2025 2:10pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 2:23pm,5/15/2025 2:23pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 2:23pm,5/15/2025 2:23pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 2:37pm,5/15/2025 2:37pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 2:55pm,5/15/2025 2:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:11pm,5/15/2025 3:11pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:11pm,5/15/2025 3:11pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:11pm,5/15/2025 3:11pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:11pm,5/15/2025 3:11pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:11pm,5/15/2025 3:11pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:11pm,5/15/2025 3:11pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:11pm,5/15/2025 3:11pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:11pm,5/15/2025 3:11pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:11pm,5/15/2025 3:11pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:11pm,5/15/2025 3:11pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:11pm,5/15/2025 3:11pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:11pm,5/15/2025 3:11pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:11pm,5/15/2025 3:11pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:12pm,5/15/2025 3:12pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:12pm,5/15/2025 3:12pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:12pm,5/15/2025 3:12pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:12pm,5/15/2025 3:12pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:12pm,5/15/2025 3:12pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:12pm,5/15/2025 3:12pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:12pm,5/15/2025 3:12pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:12pm,5/15/2025 3:12pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:12pm,5/15/2025 3:12pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:12pm,5/15/2025 3:12pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:12pm,5/15/2025 3:12pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:12pm,5/15/2025 3:12pm,0.0,$0.00,,
